NumOfWords,NumOfChar,NumOfPunc,NumOfContPunc,NumOfContUpperCase,Bi-freq,un-freq,tri-freq,Label
5,27,0,0,0,4,3,3,0
12,71,0,0,1,10,6,12,0
13,79,0,0,4,12,7,15,1
8,47,0,0,1,2,2,1,1
10,66,1,0,0,4,3,3,0
14,85,2,0,0,8,5,9,1
9,57,0,0,0,4,3,3,0
13,67,0,0,0,2,2,1,0
11,73,0,0,0,8,5,9,1
9,65,1,0,0,10,6,12,0
11,61,1,0,1,8,5,9,0
8,58,1,0,0,4,3,3,1
22,116,0,0,1,10,6,12,0
11,69,1,0,0,14,8,18,1
12,69,0,0,1,10,6,12,0
13,80,0,0,0,4,3,3,0
16,79,0,0,1,8,5,9,0
17,82,3,0,0,10,6,12,1
12,68,0,0,2,6,4,6,0
10,68,0,0,0,6,4,6,0
9,39,0,0,0,4,3,3,1
10,60,0,0,0,6,4,6,1
9,51,0,0,0,8,5,9,1
12,69,0,0,0,4,3,3,1
5,30,1,0,0,8,5,9,1
10,56,0,0,0,12,7,15,1
12,73,1,0,0,8,5,9,0
12,75,0,0,1,8,5,9,1
12,76,0,0,0,12,7,15,0
6,50,0,0,0,4,3,3,1
9,43,0,0,0,4,3,3,1
12,82,0,0,0,8,5,9,1
11,82,0,0,0,10,6,12,0
13,93,0,0,13,12,7,15,1
12,69,0,0,1,8,5,9,0
10,55,0,0,2,6,4,6,0
6,47,0,0,0,2,2,1,1
23,123,0,0,0,14,8,18,1
9,59,0,0,0,4,3,3,1
8,67,1,0,8,4,3,3,1
8,50,0,0,1,6,4,6,1
11,70,0,0,0,6,4,6,0
7,46,0,0,0,8,5,9,1
10,57,0,0,0,6,4,6,0
12,80,2,0,2,12,7,15,1
9,60,0,0,0,8,5,9,0
10,73,0,0,0,8,5,9,0
10,66,0,0,0,10,6,12,1
6,47,0,0,0,6,4,6,1
12,56,0,0,1,10,6,12,0
11,81,1,0,0,8,5,9,1
18,104,0,0,0,14,8,18,0
5,32,2,0,0,4,3,3,1
10,61,1,0,0,8,5,9,0
14,84,2,0,1,6,4,6,1
13,75,0,0,0,12,7,15,0
11,52,0,0,1,10,6,12,0
12,72,0,0,0,8,5,9,1
9,54,0,0,1,4,3,3,1
16,102,2,0,1,16,9,21,1
8,47,1,0,0,6,4,6,1
7,53,0,0,2,14,8,18,1
9,47,0,0,1,4,3,3,1
9,68,0,0,0,8,5,9,0
12,78,0,0,0,6,4,6,0
